index,chemicalFormula Clean,Band gap values Clean,Band gap units,Band gap method,Reliability
142,Mg2Pb1,0.1,eV,Thermal activation,2
143,Mg2Pb1,0.1,eV,Estimated,2
144,Mg3Bi2,0.1,eV,Estimated,1
145,Mg3Bi2,0.1,eV,Thermal activation,2
146,Al1B1,0.82,eV,Thermal activation,1
147,Al1B1,0.5,eV,Thermal activation,2
148,Al1B1,0.74,eV,Thermal activation,2
149,Al1N1,5.74,eV,Absorption,1
150,Al1N1,5.88,eV,Absorption,2
151,Al1N1,5.9,eV,Absorption,2
152,Al1N1,5.9,eV,Absorption,2
153,Al2O3,9.5,eV,Absorption,1
154,Al2O3,9.9,eV,Absorption,1
155,Al2O3,8.7,eV,Absorption,2
156,Al2O3,8.56,eV,,2
157,Al2O3,7.0,eV,Photoconduction,2
158,Al2O3,7.3,eV,Thermal activation,2
159,Al1P1,2.45,eV,Absorption,1
160,Al1P1,2.51,eV,Absorption,2
161,Al1P1,2.42,eV,,2
162,Al1P1,2.65,eV,Estimated,2
163,Al2S3,4.1,eV,Absorption,1
164,Al1As1,2.1,eV,,1
165,Al1As1,2.9,eV,,1
166,Al1As1,2.25,eV,,2
167,Al1As1,2.228,eV,Absorption,2
168,Al1As1,2.2230000000000003,eV,Absorption,2
169,Al1As1,2.205,eV,Absorption,2
170,Al1As1,2.13,eV,,2
171,Al1As1,2.16,eV,Absorption,2
172,Al1As1,2.2,eV,Absorption,2
173,Al1As1,3.5,eV,,2
174,Al1As1,2.233,eV,Absorption,2
175,Al1As1,2.215,eV,Absorption,2
176,Al2Se3,3.1,eV,Absorption,1
177,Al1Sb1,1.62,eV,Reflection,1
178,Al1Sb1,2.218,eV,Reflection,1
179,Al1Sb1,1.62,eV,Reflection,2
180,Al1Sb1,1.6,eV,,2
181,Al2Te3,2.5,eV,Absorption,1
182,Al2Te3,2.5,eV,Thermal activation,2
183,Al2Te3,2.2,eV,Thermal activation,2
184,Al1Bi1,0.4,eV,Estimated,1
185,Si1C1,2.2,eV,Absorption,1
186,Si1C1,2.86,eV,Absorption,1
187,Si1C1,2.39,eV,Absorption,2
188,Si1C1,2.6,eV,Absorption,2
189,Si1C1,2.86,eV,Absorption,2
190,Si1C1,3.33,eV,Absorption,2
191,Si1C1,4.4,eV,Estimated,2
192,Si3N4,5.0,eV,,1
193,Si3N4,5.1,eV,Absorption,2
194,Si3N4,4.5,eV,Absorption,2
195,Si1O2,11.0,eV,Reflection,1
196,Si1O2,10.4,eV,Reflection,2
197,Si1O2,8.0,eV,Absorption,2
198,Si1O2,8.4,eV,Absorption,2
199,Si,1.12,eV,Absorption,1
200,Si,1.166,eV,,2
201,Si,1.17,eV,Absorption,2
202,Si,1.165,eV,Absorption,2
203,Si,1.16,eV,Absorption,2
204,Si,1.16,eV,Absorption,2
205,Si,1.12,eV,Absorption,2
206,Si1P2,1.89,eV,Absorption,1
207,Si1As1,1.45,eV,Absorption,1
208,Si1As1,1.48,eV,Absorption,2
209,Si1As1,1.57,eV,Absorption,2
210,Si1As1,2.2,eV,Absorption,2
211,Si1Se2,1.72,eV,Absorption,1
212,Si1Se2,1.74,eV,Absorption,2
213,Si1Sn1,0.59,eV,,1
214,Si2Te3,1.98,eV,Absorption,1
215,Si1Te2,1.85,eV,Absorption,1
216,Si1Te2,2.18,eV,Absorption,1
217,Si2Te3,2.0,eV,Absorption,2
218,P,0.33,eV,Reflection,1
219,P,1.6,eV,Reflection,1
220,P,1.4,eV,Absorption,2
221,P,0.35,eV,Thermal activation,2
222,P1As1,0.23,eV,Thermal activation,1
223,S,3.82,eV,Photoconduction,1
224,S,4.2,eV,Reflection,2
225,S,3.82,eV,Photoconduction,2
226,K1F1,10.9,eV,Reflection,1
227,K1F1,10.9,eV,Absorption,2
228,K1F1,9.61,eV,Reflection,2
229,K1F1,10.3,eV,Reflection,1
230,K2S1,2.1,eV,Estimated,1
231,K1Cl1,8.5,eV,Absorption,1
232,K1Cl1,8.9,eV,Photoconduction,2
233,K1Cl1,7.8,eV,Reflection,2
