index,chemicalFormula Clean,Band gap values Clean,Band gap units,Band gap method,Reliability
606,Ge1Sn1,0.8,eV,,1
607,Ge1Te1,0.84,eV,Absorption,1
608,Ge1Te2,0.3,eV,,1
609,Ge1Te1,0.8,eV,Absorption,2
610,Ge1Te1,0.33,eV,,2
611,Ge1Te1,0.77,eV,Absorption,2
612,Ge1Te1,0.7,eV,Absorption,2
613,Ge1I2,1.5,eV,Estimated,1
614,As2O3,4.0,eV,Absorption,1
615,As2O3,5.0,eV,Reflection,2
616,As2S3,2.43,eV,Absorption,1
617,As4S4,2.4,eV,Photoconduction,1
618,As2S5,2.48,eV,Absorption,1
619,As2S3,2.2,eV,,2
620,As2S3,3.0,eV,,2
621,As2S6,2.35,eV,Absorption,2
622,As2S3,2.57,eV,Absorption,2
623,As2S3,2.64,eV,Absorption,2
624,As2S3,2.45,eV,Absorption,2
625,As2S3,2.0,eV,Absorption,2
626,As2S3,2.062,eV,Absorption,2
627,As2S3,2.21,eV,Absorption,2
628,As2S3,2.23,eV,Absorption,2
629,As2S3,2.48,eV,Reflection,2
630,As2S3,2.56,eV,Absorption,2
631,As2S3,2.355,eV,Absorption,2
632,As2S3,2.365,eV,Absorption,2
633,As2S3,2.43,eV,Absorption,2
634,As2S5,2.62,eV,Absorption,2
635,As2S3,2.32,eV,Absorption,2
636,As2S3,1.89,eV,Absorption,2
637,As2S5,2.01,eV,Absorption,2
638,As2S3,2.1,eV,Absorption,2
639,As2S5,2.21,eV,Absorption,2
640,As2S3,2.32,eV,Absorption,2
641,As2S3,2.36,eV,Photoconduction,2
642,As2S3,2.74,eV,Absorption,2
643,As2S3,2.8,eV,Absorption,2
644,As,1.2,eV,Photoconduction,1
645,As,0.172,eV,Magnetoreflection,2
646,As,0.34600000000000003,eV,Magnetoreflection,2
647,As,1.07,eV,Reflection,2
648,As1Se1,1.01,eV,Absorption,1
649,As1Se1,1.42,eV,Absorption,1
650,As2Se3,1.77,eV,Reflection,1
651,As2Se3,1.8,eV,,2
652,As2Se3,1.81,eV,,2
653,As2Se3,1.85,eV,,2
654,As2Se3,2.0,eV,,2
655,As2Se3,1.63,eV,Absorption,2
656,As2Se3,1.5,eV,Absorption,2
657,As2Se3,1.7,eV,Absorption,2
658,As2Se3,1.7,eV,,2
659,As2Se3,1.73,eV,Absorption,2
660,As2Se3,1.1,eV,,2
661,As1Br3,2.6,eV,Absorption,1
662,As2Te3,0.48,eV,Absorption,1
663,As1Te1,0.74,eV,,1
664,As2Te3,0.58,eV,,2
665,As2Te3,1.1,eV,,2
666,As2Te3,0.62,eV,Absorption,2
667,As2Te3,0.9,eV,,2
668,As2Te3,1.0,eV,Absorption,2
669,As1I3,2.29,eV,Estimated,1
670,As1I3,2.54,eV,Absorption,2
671,SeS,1.9,eV,Absorption,1
672,Se,1.71,eV,Absorption,1
673,Se,1.72,eV,Absorption,1
674,Se,1.75,eV,Absorption,1
675,Se,1.81,eV,Absorption,2
676,Se,2.85,eV,,2
677,Se,2.01,eV,Absorption,2
678,Se,1.8,eV,Absorption,2
679,Se,2.3,eV,Absorption,2
680,Se,1.56,eV,Absorption,2
681,Se,1.7,eV,Absorption,2
682,Se,1.77,eV,Absorption,2
683,Se,1.98,eV,Absorption,2
684,Se,2.01,eV,Reflection,2
685,Se,2.14,eV,Photoconduction,2
686,Se,2.2,eV,Reflection,2
687,Se,1.85,eV,Absorption,2
688,Se,2.4,eV,Absorption,2
689,Se1Te1,0.64,eV,Absorption,1
690,Se3Te1,1.87,eV,Absorption,1
691,SeTe,0.561,eV,Absorption,2
692,Se1Te1,1.58,eV,Absorption,2
693,Rb1F1,10.4,eV,Absorption,1
694,Rb1Cl1,8.29,eV,Absorption,1
695,Rb1Cl1,8.5,eV,Absorption,2
696,Rb1Cl1,8.3,eV,Reflection,2
697,Rb1Cl1,8.1,eV,Absorption,2
698,Rb1Cl1,8.2,eV,Absorption,2
699,Rb1Br1,7.2,eV,Absorption,1
700,Rb1Br1,7.25,eV,Reflection,2
701,Rb1Br1,7.65,eV,Absorption,2
702,Rb1Br1,7.7,eV,Absorption,2
703,Rb3Sb1,1.0,eV,Absorption,1
704,Rb3Sb1,0.9,eV,Thermal activation,2
705,Rb3Sb1,1.0,eV,Absorption,2
706,Rb3Sb1,1.7,eV,Absorption,2
707,Rb2Te1,4.5,eV,Photoconduction,1
708,Rb1I1,5.83,eV,Absorption,1
709,Rb1I1,6.26,eV,Absorption,2
710,Rb1I1,6.37,eV,Photoconduction,2
711,Rb1I1,6.25,eV,Reflection,2
712,Rb1I1,6.05,eV,Absorption,2
713,Rb1I1,6.1,eV,Absorption,2
714,Rb1I1,6.1,eV,Absorption,2
715,Rb1I1,6.36,eV,Photoconduction,2
716,Sr1O1,5.77,eV,Absorption,1
717,Sr1O1,5.7,eV,Reflection,2
718,Sr1O1,1.16,eV,Thermal activation,2
719,Sr1S1,4.76,eV,Absorption,1
720,Sr1S1,4.8,eV,Absorption,2
721,Sr1Se1,4.42,eV,Absorption,1
722,Sr1Se1,4.45,eV,Absorption,2
723,Sr1Te1,3.73,eV,Absorption,1
724,Sr1Te1,3.77,eV,Absorption,2
725,Y1N1,1.9,eV,Absorption,1
726,Y2O3,5.6,eV,Absorption,1
727,Y2O3,1.46,eV,Thermal activation,2
728,ZrC,0.6,eV,Thermal activation,1
729,Zr6O1,0.18,eV,Thermal activation,1
730,Zr3O1,0.2,eV,Thermal activation,1
731,Zr1O2,4.99,eV,Reflection,1
732,Zr1O2,0.65,eV,Thermal activation,2
733,Zr1O2,0.56,eV,Thermal activation,2
734,Zr1S2,1.68,eV,Absorption,1
735,Zr1S2,2.75,eV,Reflection,1
736,Zr1S3,2.17,eV,Absorption,1
737,Zr1S3,2.28,eV,Photoconduction,2
738,Zr1S2,0.85,eV,Thermal activation,2
739,Zr1Se2,2.0,eV,Reflection,1
740,Zr1Se3,1.25,eV,Absorption,1
741,Nb1O2,0.25,eV,Thermal activation,1
742,Nb2O5,3.48,eV,Absorption,1
743,Nb2O5,1.65,eV,Thermal activation,2
744,Nb2O5,3.08,eV,Reflection,2
745,Nb2S3,0.12,eV,Thermal activation,1
746,Nb1Se2,1.4,eV,Reflection,1
747,Mo1O3,3.66,eV,Thermal activation,1
748,Mo1O3,3.23,eV,Absorption,1
749,Mo1O3,3.66,eV,Absorption,1
750,Mo1O3,2.8,eV,Absorption,1
751,Mo1O3,2.96,eV,Absorption,1
752,Mo1O3,3.54,eV,Thermal activation,1
753,Mo1O3,3.7,eV,Absorption,2
754,Mo1S2,1.89,eV,Absorption,1
755,Mo1S2,0.25,eV,Absorption,1
756,Mo1S2,1.935,eV,Absorption,2
757,Mo1S2,1.83,eV,Absorption,2
758,Mo1S2,0.8740000000000001,eV,Thermal activation,2
759,Mo1S2,1.0,eV,Thermal activation,2
760,Mo1Te2,0.83,eV,Absorption,1
761,Mo1Te2,1.02,eV,Absorption,2
762,Mo1Te2,1.08,eV,Absorption,2
763,Mo1Te2,1.82,eV,,2
764,Ru1P2,1.0,eV,Reflection,1
765,Ru1S2,1.8,eV,Reflection,1
766,Ru1As2,0.8,eV,Reflection,1
767,Ru1Se2,1.0,eV,Reflection,1
768,Ru1Sb2,0.3,eV,Thermal activation,1
769,Ru1Te2,0.25,eV,Thermal activation,1
770,Ru1Te2,0.25,eV,Thermal activation,2
771,Rh2S3,0.8,eV,Thermal activation,1
772,Rh1S3,1.5,eV,Absorption,1
773,Rh1Se2,0.6,eV,,1
774,Rh1Se3,0.7,eV,Absorption,1
775,Pd1O1,1.5,eV,Thermal activation,1
776,Pd1O1,0.6,eV,Reflection,2
777,Pd1P2,0.65,eV,Thermal activation,1
778,Pd1S1,0.5,eV,Thermal activation,1
779,Pd1S2,0.75,eV,Thermal activation,1
780,Pd1Se1,0.2,eV,Thermal activation,1
781,Pd1Se2,0.4,eV,Thermal activation,1
782,Pd1Te2,1.8,eV,,1
783,Ag1N3,3.9,eV,Photoconduction,1
784,Ag1N3,3.44,eV,Absorption,2
785,Ag2O1,1.2,eV,Photoconduction,1
786,Ag2O1,1.5,eV,Thermal activation,2
787,Ag2O1,1.591,eV,Absorption,2
788,Ag2O1,0.64,eV,Thermal activation,2
789,Ag2S1,1.03,eV,Photoconduction,1
790,Ag2S1,0.87,eV,Absorption,1
791,Ag2S1,1.23,eV,Photoconduction,2
792,Ag2S1,1.0,eV,Reflection,2
793,Ag1Cl1,3.25,eV,Absorption,1
794,Ag1Cl1,5.13,eV,Absorption,1
795,Ag1Cl1,3.22,eV,Absorption,2
796,Ag1Cl1,5.1,eV,Estimated,2
797,Ag1Cl1,3.2460000000000004,eV,Absorption,2
798,Ag1Cl1,3.25,eV,Absorption,2
799,Ag1Cl1,3.252,eV,Absorption,2
800,Ag1Cl1,3.22,eV,Absorption,2
801,Ag1Cl1,3.2260000000000004,eV,Absorption,2
802,Ag1Cl1,3.08,eV,Absorption,2
803,Ag2Se1,0.13,eV,Absorption,1
804,Ag2Se1,0.07,eV,Thermal activation,2
805,Ag2Se1,0.18,eV,Thermal activation,2
806,Ag2Se1,0.05,eV,,2
807,Ag2Se1,0.18,eV,,2
808,Ag1Br1,2.68,eV,Absorption,1
809,Ag1Br1,4.29,eV,Absorption,1
810,Ag1Br1,2.97,eV,Absorption,2
811,Ag1Br1,4.292,eV,Absorption,2
812,Ag1Br1,2.6830000000000003,eV,Absorption,2
813,Ag1Br1,2.69,eV,Absorption,2
814,Ag1Br1,2.6910000000000003,eV,Absorption,2
815,Ag1Br1,2.676,eV,Absorption,2
816,Ag1Br1,2.68,eV,Absorption,2
817,Ag1Br1,2.52,eV,Absorption,2
818,Ag1Br1,2.6,eV,Absorption,2
819,Ag2Te1,0.064,eV,Absorption,1
820,Ag1Te1,0.85,eV,Absorption,1
821,Ag2Te1,0.064,eV,,2
822,Ag2Te1,0.025,eV,,2
823,Ag2Te1,0.027999999999999997,eV,Thermal activation,2
824,Ag2Te1,0.13,eV,Thermal activation,2
825,Ag2Te1,0.28,eV,,2
826,Ag2Te1,0.85,eV,Reflection,2
827,Ag2Te1,0.064,eV,,2
828,Ag2Te1,0.67,eV,Absorption,2
829,Ag2Te1,0.2,eV,,2
830,Ag1I1,2.9189999999999996,eV,Absorption,2
831,Ag1I1,2.82,eV,Absorption,2
832,Cd1O1,1.2,eV,Absorption,1
833,Cd1O1,2.3,eV,Absorption,1
834,Cd1O1,2.35,eV,Reflection,2
835,Cd1F2,6.0,eV,,1
836,Cd1P2,1.55,eV,,1
837,Cd1P2,1.65,eV,,1
838,Cd1P2,1.92,eV,,1
839,Cd1P2,2.02,eV,Absorption,1
840,Cd3P2,0.52,eV,Thermal activation,1
841,Cd1P4,1.0,eV,Absorption,1
842,Cd3P2,0.58,eV,,2
843,Cd3P2,0.589,eV,,2
844,Cd3P2,0.586,eV,,2
845,Cd1P2,2.15,eV,Absorption,2
846,Cd3P2,0.55,eV,,2
847,Cd1P2,1.93,eV,Photoconduction,2
848,Cd1P4,1.15,eV,Thermal activation,2
849,Cd1S1,2.41,eV,Photoconduction,1
850,Cd1S1,2.425,eV,Photoconduction,1
851,Cd1S1,2.526,eV,,2
852,Cd1S1,2.582,eV,Reflection,2
853,Cd1S1,2.386,eV,,2
854,Cd1S1,2.582,eV,Absorption,2
855,Cd1S1,2.573,eV,Absorption,2
856,Cd1Cl2,5.7,eV,Reflection,1
857,Cd1Cl2,5.8,eV,,2
858,Cd1As2,1.0,eV,Absorption,1
859,Cd3As2,0.13,eV,Absorption,1
860,Cd1As2,1.04,eV,Absorption,2
861,Cd3As2,0.14,eV,,2
862,Cd1As2,0.89,eV,Absorption,2
863,Cd3As2,0.048,eV,Magnetoreflection,2
864,Cd3As2,0.425,eV,Thermal activation,2
865,Cd3As2,0.53,eV,Photoconduction,2
866,Cd1Sc1,1.714,eV,Photoconduction,1
867,Cd1Se1,1.8159999999999998,eV,Photoconduction,2
868,Cd1Se1,1.83,eV,Photoconduction,2
869,Cd1Se1,1.84,eV,Absorption,2
870,Cd1Se1,1.865,eV,Absorption,2
871,Cd1Se1,1.815,eV,Photoconduction,2
872,Cd1Se1,1.821,eV,Photoconduction,2
873,Cd1Se1,1.733,eV,Photoconduction,2
874,Cd1Br2,4.47,eV,Reflection,1
875,Cd1In1,0.6,eV,Estimated,1
876,Cd1Sb1,0.45,eV,Absorption,1
877,Cd4Sb3,1.25,eV,Absorption,1
878,Cd1Sb1,0.535,eV,,2
879,Cd1Sb1,0.57,eV,Thermal activation,2
880,Cd1Sb1,0.585,eV,Absorption,2
881,Cd1Sb1,0.428,eV,Photoconduction,2
882,Cd1Sb1,0.43,eV,Absorption,2
883,Cd1Sb1,0.45,eV,Absorption,2
884,Cd1Sb1,0.465,eV,Absorption,2
885,Cd1Sb1,0.7,eV,Absorption,2
886,Cd1Te1,1.517,eV,Electroreflection,1
887,Cd1Te1,1.595,eV,Electroreflection,2
888,Cd1Te1,1.594,eV,Electroreflection,2
889,Cd1Te1,1.58,eV,Thermal activation,2
890,Cd1I2,3.266,eV,Absorption,1
891,Cd1I2,3.8569999999999998,eV,Absorption,1
892,Cd1I2,3.478,eV,Absorption,2
893,Cd1I2,3.8,eV,Photoconduction,2
894,Cd1I2,4.228,eV,Absorption,2
895,Cd1I2,3.2,eV,Photoconduction,2
896,Cd1I2,3.19,eV,Absorption,2
897,Cd1I2,3.2,eV,Photoconduction,2
898,Cd1I2,6.25,eV,Absorption,2
899,Cd1I2,3.26,eV,Reflection,2
900,Cd3Bi2,0.2,eV,Estimated,1
901,In1N1,2.4,eV,Estimated,1
902,In2O3,2.6189999999999998,eV,Absorption,1
903,In2O3,3.75,eV,Absorption,1
904,In2O3,2.8,eV,Reflection,2
905,In2O3,3.55,eV,Absorption,2
906,In1P1,1.351,eV,Absorption,1
907,In1P1,1.413,eV,Absorption,2
908,In1P1,1.34,eV,Electroreflection,2
909,In1P1,1.45,eV,Absorption,2
910,In1P1,1.41,eV,,2
911,In2S3,1.1,eV,Thermal activation,1
912,In2S3,2.03,eV,Absorption,1
913,In1S1,1.86,eV,Thermal activation,1
914,In4S5,0.9,eV,Photoconduction,1
915,In2S3,2.28,eV,,2
916,In1As1,0.35600000000000004,eV,Magnetoabsorption,1
917,In1AsI,0.41,eV,,2
918,In1As1,0.41,eV,Magnetoabsorption,2
919,In1As1,0.409,eV,Magnetoabsorption,2
920,In1As1,0.41200000000000003,eV,,2
921,In1As1,0.40399999999999997,eV,Magnetoabsorption,2
922,In1As1,0.33,eV,Absorption,2
923,In1Se1,1.187,eV,Absorption,1
924,In1Se1,1.2930000000000001,eV,Absorption,1
925,In2Se1,0.65,eV,Absorption,1
926,In2Se1,0.828,eV,Absorption,1
927,In2Se3,1.2,eV,Absorption,1
928,In1Se1,1.285,eV,Absorption,2
929,In1Se1,1.357,eV,Absorption,2
930,In1Se1,1.12,eV,Absorption,2
931,In1Se1,1.19,eV,Reflection,2
932,In1Se1,2.42,eV,Absorption,2
933,In1Se1,1.05,eV,Absorption,2
934,In1Sb1,0.17,eV,Absorption,1
935,In1Sb1,0.235,eV,Magnetoabsorption,2
936,In1Sb1,0.23600000000000002,eV,Absorption,2
937,In1Sb1,0.175,eV,Absorption,2
938,In1Sb1,0.23399999999999999,eV,,2
939,In1Sb1,0.23600000000000002,eV,,2
940,In2Te3,0.84,eV,Reflection,1
941,In2Te3,1.12,eV,Reflection,1
942,In2Te3,1.15,eV,Thermal activation,2
943,In2Te3,1.11,eV,Absorption,2
944,In2Te3,0.85,eV,Absorption,2
945,In2Te3,1.026,eV,Thermal activation,2
946,In2Te3,1.09,eV,Absorption,2
947,In2Te3,1.0,eV,,2
948,Sn1O2,2.7,eV,Absorption,1
949,Sn1O2,4.3,eV,Absorption,1
950,Sn1O2,3.6310000000000002,eV,Absorption,2
951,Sn1O2,3.947,eV,Absorption,2
952,Sn1O2,3.597,eV,Absorption,2
953,Sn1O2,2.6,eV,,2
954,Sn1O2,2.45,eV,Absorption,2
955,Sn1O2,2.55,eV,Absorption,2
956,Sn1O2,3.54,eV,Absorption,2
957,Sn1O2,3.57,eV,Reflection,2
958,Sn1O2,3.69,eV,Absorption,2
959,Sn1O2,3.7,eV,Absorption,2
960,Sn1O2,3.71,eV,Absorption,2
961,Sn1O2,3.93,eV,Reflection,2
962,Sn1O2,4.1,eV,Absorption,2
963,Sn1O2,3.9,eV,Reflection,2
964,Sn1S2,2.07,eV,Absorption,1
965,Sn1S2,2.88,eV,Absorption,1
966,Sn1S1,1.08,eV,Absorption,1
967,Sn1S2,2.21,eV,Absorption,2
968,Sn1S2,2.6,eV,Reflection,2
969,Sn1S1,1.3,eV,Reflection,2
970,Sn1Cl2,3.9,eV,Reflection,1
971,Sn1Se2,1.97,eV,Reflection,1
972,Sn1Se2,1.03,eV,Absorption,1
973,Sn1Se1,0.91,eV,Absorption,1
974,Sn1Se1,1.2,eV,Absorption,1
975,Sn1Se2,0.98,eV,Absorption,2
976,Sn1Se1,0.9,eV,Absorption,2
977,Sn1Se2,0.97,eV,Absorption,2
978,Sn1Se2,1.0,eV,Absorption,2
979,Sn1Se2,1.0,eV,Thermal activation,2
980,Sn1Se2,1.3,eV,Absorption,2
981,Sn1Se2,1.62,eV,Absorption,2
982,Sn1Br2,3.4,eV,Reflection,1
983,Sn1Br2,3.5,eV,Absorption,2
984,Sn,0.075,eV,Absorption,1
985,Sn,0.092,eV,,2
986,Sn,0.08,eV,Photoconduction,2
987,Sn1Te1,0.18,eV,Absorption,1
988,Sn1Te1,0.33,eV,,2
989,Sn1Te1,0.36,eV,Absorption,2
990,Sn1Te1,0.3,eV,Thermal activation,2
991,Sn1Te1,0.26,eV,Absorption,2
992,Sn1I4,2.38,eV,Absorption,1
993,Sn1I2,2.4,eV,Reflection,1
994,Sb2O3,3.31,eV,Reflection,1
995,Sb2O3,3.2,eV,Reflection,2
996,Sb2O3,4.2,eV,Photoconduction,2
997,Sb1Si1,1.9,eV,Thermal activation,1
998,Sb1Si1,1.9,eV,,2
999,Sb2S3,1.7,eV,Absorption,1
1000,Sb2S3,1.72,eV,Absorption,2
1001,Sb2S3,1.63,eV,Absorption,2
1002,Sb2S3,1.67,eV,Absorption,2
1003,Sb2S3,1.69,eV,Absorption,2
1004,Sb2S3,1.7,eV,Absorption,2
1005,Sb2S3,1.71,eV,Absorption,2
1006,Sb2S3,1.7,eV,,2
1007,Sb2S3,1.92,eV,Reflection,2
1008,Sb0.605As0.395,0.009000000000000001,eV,Thermal activation,1
1009,Sb0.71As0.29,0.125,eV,Thermal activation,2
1010,Sb2Se3,1.2,eV,Absorption,1
1011,Sb2Se3,1.4,eV,,2
1012,Sb2Se3,1.1,eV,Absorption,2
1013,Sb2Se3,1.15,eV,Absorption,2
1014,Sb,0.1,eV,Reflection,1
1015,Sb,0.10099999999999999,eV,Reflection,2
1016,Sb2Te3,0.3,eV,Absorption,1
1017,Sb2Te3,0.3,eV,Reflection,2
1018,Sb2Te3,0.3,eV,,2
1019,Sb1I3,2.22,eV,Estimated,1
1020,Sb1I3,2.12,eV,Absorption,2
1021,Sb1I3,2.49,eV,Absorption,2
1022,Te1O2,3.0,eV,Photoconduction,1
1023,Te,0.332,eV,Absorption,1
1024,Te,0.35,eV,,2
1025,Te,0.33399999999999996,eV,Magnetoabsorption,2
1026,Te,0.335,eV,Absorption,2
1027,Te,0.33399999999999996,eV,Magnetoabsorption,2
1028,Te,0.337,eV,Absorption,2
1029,Te,0.33399999999999996,eV,,2
1030,Te,0.336,eV,Absorption,2
1031,Te,0.34299999999999997,eV,Absorption,2
1032,Te,0.32,eV,Absorption,2
1033,Te,0.32,eV,Absorption,2
1034,Te,0.33,eV,Thermal activation,2
1035,Te1I1,1.1,eV,Thermal activation,1
1036,I,1.3,eV,Absorption,1
1037,I,1.68,eV,Absorption,2
1038,I,1.6,eV,Thermal activation,2
1039,I,1.5,eV,Absorption,2
1040,Cs1F1,10.0,eV,Absorption,1
1042,Cs1Cl1,8.1,eV,Absorption,1
1043,Cs1Cl1,7.8,eV,Absorption,2
1044,Cs1Cl1,7.4,eV,Estimated,2
1045,Cs3As1,0.6,eV,,1
1046,Cs1Br1,7.18,eV,Estimated,1
1047,Cs1Br1,6.9,eV,Estimated,2
1048,Cs1Br1,6.8,eV,Absorption,2
1049,Cs3Sb1,1.6,eV,Absorption,1
1050,Cs3Sb1,1.6,eV,,2
1051,Cs3Sb1,1.6,eV,,2
1052,Cs3Sb1,1.6,eV,,2
1053,Cs3Sb1,2.25,eV,Absorption,2
1054,Cs2Te1,3.5,eV,,1
1055,Cs1I1,6.37,eV,Absorption,1
1056,Cs1I1,6.3,eV,Absorption,2
1057,Cs1I1,6.4,eV,,2
1058,Cs1I1,6.2,eV,Estimated,2
1059,Cs1Bi2,0.55,eV,Absorption,1
1060,Cs3Bi1,0.55,eV,Absorption,1
1061,Cs3Bi1,0.7,eV,Absorption,2
1062,Ba1O1,5.13,eV,Estimated,1
1063,Ba1O1,3.8,eV,Absorption,2
1064,Ba1O1,4.8,eV,Absorption,2
1065,Ba1F2,9.06,eV,Absorption,1
1066,Ba1S1,3.88,eV,Absorption,1
1067,Ba1S1,3.9,eV,Absorption,2
1068,Ba1Se1,3.6,eV,Absorption,1
1069,Ba1Se1,3.58,eV,Absorption,2
1070,Ba1Te1,3.4,eV,Estimated,1
1072,La1B6,0.08,eV,Reflection,1
1073,La1B6,4.9,eV,Reflection,2
1074,La1B6,4.1,eV,Absorption,2
1075,La2O3,1.05,eV,Thermal activation,1
1076,La2O3,2.86,eV,,2
1077,La1F3,6.6,eV,Absorption,1
1078,La2S3,1.32,eV,Thermal activation,1
1080,La2Se3,1.97,eV,Reflection,1
1081,La2Se3,1.7,eV,Thermal activation,2
1082,La1Sb1,0.8,eV,Absorption,1
1083,La2Te3,0.1,eV,Thermal activation,1
1084,La3Te4,0.43,eV,Thermal activation,1
1085,Ce1N1,0.7,eV,Estimated,1
1086,Ce1O2,2.68,eV,Thermal activation,1
1087,Ce1O2,2.0,eV,,2
1088,Ce1O2,5.5,eV,Absorption,2
1089,Ce1O2,1.1,eV,Thermal activation,2
1090,Ce1F3,4.85,eV,Absorption,1
1091,Ce2S3,1.12,eV,,1
1092,Ce2Se3,1.75,eV,Reflection,1
1093,Ce2Se3,1.62,eV,Thermal activation,2
1094,Ce2Se3,2.0,eV,Thermal activation,2
1095,Ce2Te3,1.4,eV,Thermal activation,1
1096,Pr1B6,4.9,eV,Reflection,1
1097,Pr1O2,0.66,eV,Thermal activation,1
1098,Pr2O3,0.84,eV,Thermal activation,1
1099,Pr1O2,0.88,eV,,2
1100,PrO,0.55,eV,Thermal activation,2
1101,Pr1F3,5.9,eV,Absorption,1
1102,Pr1F3,5.3,eV,Absorption,2
1103,Pr1As1,1.0,eV,Absorption,1
1104,Pr2Se3,1.8,eV,Reflection,1
1105,Pr2Se3,1.9,eV,Thermal activation,2
1106,Pr1Sb1,0.66,eV,Absorption,1
1107,Pr1Te2,1.02,eV,Absorption,1
1108,Pr1Te2,1.288,eV,Absorption,1
1109,Pr2Te3,1.3,eV,Absorption,1
1110,Nd1B6,4.9,eV,Reflection,1
1111,Nd1B6,3.4,eV,Absorption,2
1112,Nd1B6,4.0,eV,Absorption,2
1113,Nd2O3,0.97,eV,Thermal activation,1
1114,Nd1F3,6.15,eV,Absorption,1
1115,Nd2S3,3.0,eV,Thermal activation,1
1116,Nd1As1,1.04,eV,Absorption,1
1117,Nd2Se3,1.7,eV,Reflection,1
1118,Nd2Te5,0.29,eV,Thermal activation,1
1119,Nd1Te2,0.3,eV,Thermal activation,1
1120,Nd4Te7,0.38,eV,Thermal activation,1
1121,Nd2Te3,1.12,eV,Thermal activation,1
1122,Nd1Te2,0.48,eV,,2
1123,Sm1B6,4.9,eV,Reflection,1
1124,Sm2O3,1.17,eV,Thermal activation,1
1125,Sm2O3,2.27,eV,,2
1126,Sm1P1,1.09,eV,Absorption,1
1127,Sm1S1,0.22,eV,Thermal activation,1
1128,Sm2S3,3.0,eV,Reflection,1
1129,Sm1S1,0.2,eV,Absorption,2
1130,Sm2S3,3.0,eV,Thermal activation,2
1131,Sm1As1,1.03,eV,Absorption,1
1132,Sm1Se1,0.46,eV,Absorption,1
1133,Sm2Se3,2.3,eV,Reflection,1
1134,Sm2Se3,2.3,eV,Thermal activation,2
1135,Sm1Sb1,0.59,eV,Absorption,1
1136,Sm1Te1,0.62,eV,Absorption,1
1137,Eu1N1,1.25,eV,Thermal activation,1
1138,Eu1N1,1.47,eV,Estimated,2
1139,Eu1O1,1.122,eV,Absorption,1
1140,Eu3O4,0.6,eV,Thermal activation,1
1141,Eu2O3,1.7,eV,Thermal activation,1
1142,Eu1O1,1.115,eV,Reflection,2
1143,Eu1O1,1.1,eV,Thermal activation,2
1144,Eu1O1,4.3,eV,Photoconduction,2
1145,Eu2O3,1.84,eV,Thermal activation,2
1146,Eu3P2,1.2,eV,Absorption,1
1147,Eu1S1,1.645,eV,Absorption,1
1148,Eu3S4,0.163,eV,Thermal activation,1
1149,Eu1S1,1.645,eV,Absorption,2
1150,Eu1S1,1.65,eV,Reflection,2
1151,Eu1S1,1.69,eV,Absorption,2
1152,Eu1S1,3.1,eV,Absorption,2
1153,Eu3As2,0.6,eV,Thermal activation,1
1154,Eu1Se1,1.78,eV,Reflection,1
1155,Eu1Se1,1.78,eV,Absorption,2
1156,Eu1Se1,1.78,eV,Reflection,2
1157,Eu1Se1,1.8,eV,Photoconduction,2
1158,Eu1Se1,1.87,eV,Absorption,2
1159,Eu1Se1,3.1,eV,Absorption,2
1160,Eu1Te1,1.959,eV,Absorption,1
1161,Eu1Te1,2.0,eV,Reflection,2
1162,Eu1Te1,2.0,eV,Absorption,2
1163,Gd1B6,3.6,eV,Absorption,1
1164,Gd1N1,1.54,eV,Absorption,1
1165,Gd2O3,1.36,eV,Thermal activation,1
1166,Gd2O3,2.9,eV,Thermal activation,2
1167,Gd1As1,0.63,eV,Absorption,1
1168,Gd1Te1,1.3,eV,,1
1169,Tb1O2,0.5,eV,Thermal activation,1
1170,Tb2O3,0.95,eV,Thermal activation,1
1171,Tb4O7,0.4,eV,Thermal activation,1
1172,Tb2O3,0.86,eV,,2
1174,Dy1B6,3.3,eV,Absorption,1
1175,Dy1N1,2.6,eV,Absorption,1
1176,Dy1N1,2.1,eV,Absorption,2
1177,Dy2O3,3.08,eV,Thermal activation,1
1178,Dy2O3,1.39,eV,,2
1179,Dy2S3,2.91,eV,Absorption,1
1180,Dy2S3,3.0,eV,Thermal activation,2
1181,Dy1As1,1.0,eV,Absorption,1
1182,Ho1N1,1.79,eV,Absorption,1
1183,Ho1N1,1.9,eV,Absorption,2
1184,Ho2O3,2.84,eV,Thermal activation,1
1185,Er1B6,3.5,eV,Absorption,1
1186,Er1N1,2.4,eV,Absorption,1
1187,Er1N1,3.0,eV,Absorption,2
1188,Er2O3,3.26,eV,Thermal activation,1
1189,Er2O3,1.4,eV,,2
1190,Er1Se2,1.07,eV,Thermal activation,1
1191,Er2Se3,1.66,eV,Thermal activation,1
1192,Er3Te4,0.9,eV,Thermal activation,1
1193,Er1Te1,0.9,eV,Thermal activation,1
1194,Er2Te3,0.9,eV,Thermal activation,1
1195,Tm1As1,1.18,eV,Absorption,1
1196,Yb2O3,2.99,eV,Thermal activation,1
1197,Yb2O3,1.53,eV,Thermal activation,2
1198,YbS,0.33,eV,Thermal activation,1
1199,YbS,0.17600000000000002,eV,Thermal activation,2
1200,Yb1As1,1.02,eV,Absorption,1
1201,Yb1Sb1,1.0,eV,Absorption,1
1202,Lu2O3,3.94,eV,Thermal activation,1
1203,Hf1O2,5.55,eV,,1
1204,Hf1S2,1.96,eV,Absorption,1
1205,Hf1S3,2.8,eV,Absorption,1
