chemicalFormula Clean,Band gap values Clean,Band gap units,index,Reliability
Ge1As2,1.225,eV,596,1
Ge1Se1,1.315,eV,599,1
Ge1Se2,2.4325,eV,601,1
Ge1Sn1,0.8,eV,606,1
Ge1Te1,0.84,eV,607,1
Ge1Te2,0.3,eV,608,1
Ge1I2,1.5,eV,613,1
As2O3,4,eV,614,1
As2S3,2.43,eV,616,1
As4S4,2.4,eV,617,1
As2S5,2.48,eV,618,1
As,1.2,eV,644,1
As1Se1,1.215,eV,648,1
As2Se3,1.77,eV,650,1
As1Br3,2.6,eV,661,1
As2Te3,0.48,eV,662,1
As1Te1,0.74,eV,663,1
As1I3,2.29,eV,669,1
SeS,1.9,eV,671,1
Se,1.72667,eV,672,1
Se1Te1,0.64,eV,689,1
Se3Te1,1.87,eV,690,1
Rb1F1,10.4,eV,693,1
Rb1Cl1,8.29,eV,694,1
Rb1Br1,7.2,eV,699,1
Rb3Sb1,1,eV,703,1
Rb2Te1,4.5,eV,707,1
Rb1I1,5.83,eV,708,1
Sr1O1,5.77,eV,716,1
Sr1S1,4.76,eV,719,1
Sr1Se1,4.42,eV,721,1
Sr1Te1,3.73,eV,723,1
Y1N1,1.9,eV,725,1
Y2O3,5.6,eV,726,1
ZrC,0.6,eV,728,1
Zr6O1,0.18,eV,729,1
Zr3O1,0.2,eV,730,1
Zr1O2,4.99,eV,731,1
Zr1S2,2.215,eV,734,1
Zr1S3,2.17,eV,736,1
Zr1Se2,2,eV,739,1
Zr1Se3,1.25,eV,740,1
Nb1O2,0.25,eV,741,1
Nb2O5,3.48,eV,742,1
Nb2S3,0.12,eV,745,1
Nb1Se2,1.4,eV,746,1
Mo1O3,3.30833,eV,747,1
Mo1S2,1.07,eV,754,1
Mo1Te2,0.83,eV,760,1
Ru1P2,1,eV,764,1
Ru1S2,1.8,eV,765,1
Ru1As2,0.8,eV,766,1
Ru1Se2,1,eV,767,1
Ru1Sb2,0.3,eV,768,1
Ru1Te2,0.25,eV,769,1
Rh2S3,0.8,eV,771,1
Rh1S3,1.5,eV,772,1
Rh1Se2,0.6,eV,773,1
Rh1Se3,0.7,eV,774,1
Pd1O1,1.5,eV,775,1
Pd1P2,0.65,eV,777,1
Pd1S1,0.5,eV,778,1
Pd1S2,0.75,eV,779,1
Pd1Se1,0.2,eV,780,1
Pd1Se2,0.4,eV,781,1
Pd1Te2,1.8,eV,782,1
Ag1N3,3.9,eV,783,1
Ag2O1,1.2,eV,785,1
Ag2S1,0.95,eV,789,1
Ag1Cl1,4.19,eV,793,1
Ag2Se1,0.13,eV,803,1
Ag1Br1,3.485,eV,808,1
Ag2Te1,0.064,eV,819,1
Ag1Te1,0.85,eV,820,1
Cd1O1,1.75,eV,832,1
Cd1F2,6,eV,835,1
Cd1P2,1.785,eV,836,1
Cd3P2,0.52,eV,840,1
Cd1P4,1,eV,841,1
Cd1S1,2.4175,eV,849,1
Cd1Cl2,5.7,eV,856,1
Cd1As2,1,eV,858,1
Cd3As2,0.13,eV,859,1
Cd1Sc1,1.714,eV,866,1
Cd1Br2,4.47,eV,874,1
Cd1In1,0.6,eV,875,1
Cd1Sb1,0.45,eV,876,1
Cd4Sb3,1.25,eV,877,1
Cd1Te1,1.517,eV,886,1
Cd1I2,3.5615,eV,890,1
Cd3Bi2,0.2,eV,900,1
In1N1,2.4,eV,901,1
In2O3,3.1845,eV,902,1
In1P1,1.351,eV,906,1
In2S3,1.565,eV,911,1
In1S1,1.86,eV,913,1
In4S5,0.9,eV,914,1
In1As1,0.356,eV,916,1
In1Se1,1.24,eV,923,1
In2Se1,0.739,eV,925,1
In2Se3,1.2,eV,927,1
In1Sb1,0.17,eV,934,1
In2Te3,0.98,eV,940,1
Sn1O2,3.5,eV,948,1
Sn1S2,2.475,eV,964,1
Sn1S1,1.08,eV,966,1
Sn1Cl2,3.9,eV,970,1
Sn1Se2,1.5,eV,971,1
Sn1Se1,1.055,eV,973,1
Sn1Br2,3.4,eV,982,1
Sn,0.075,eV,984,1
Sn1Te1,0.18,eV,987,1
Sn1I4,2.38,eV,992,1
Sn1I2,2.4,eV,993,1
Sb2O3,3.31,eV,994,1
Sb1Si1,1.9,eV,997,1
Sb2S3,1.7,eV,999,1
Sb0.605As0.395,0.009,eV,1008,1
Sb2Se3,1.2,eV,1010,1
Sb,0.1,eV,1014,1
Sb2Te3,0.3,eV,1016,1
Sb1I3,2.22,eV,1019,1
Te1O2,3,eV,1022,1
Te,0.332,eV,1023,1
Te1I1,1.1,eV,1035,1
I,1.3,eV,1036,1
Cs1F1,10,eV,1040,1
Cs1Cl1,8.1,eV,1042,1
