AtomicNumber_composition_average,AtomicRadii_composition_average,AtomicVolume_composition_average,AtomicWeight_composition_average,BCCefflatcnt_composition_average,BCCenergy_pa_composition_average,BCCfermi_composition_average,BCCmagmom_composition_average,BCCvolume_pa_composition_average,BCCvolume_padiff_composition_average,BoilingT_composition_average,BulkModulus_composition_average,Column_composition_average,CovalentRadii_composition_average,CovalentRadius_composition_average,Density_composition_average,ElasticModulus_composition_average,ElectricalConductivity_composition_average,ElectronAffinity_composition_average,Electronegativity_composition_average,FirstIonizationEnergy_composition_average,GSbandgap_composition_average,GSenergy_pa_composition_average,GSestBCClatcnt_composition_average,GSestFCClatcnt_composition_average,GSmagmom_composition_average,GSvolume_pa_composition_average,Group_composition_average,HHIp_composition_average,HHIr_composition_average,HeatCapacityMass_composition_average,HeatCapacityMolar_composition_average,HeatFusion_composition_average,HeatVaporization_composition_average,ICSDVolume_composition_average,IonicRadii_composition_average,IonizationEnergy_composition_average,IsAlkali_composition_average,IsAlkalineEarth_composition_average,IsBCC_composition_average,IsBoron_composition_average,IsCarbon_composition_average,IsChalcogen_composition_average,IsDBlock_composition_average,IsFBlock_composition_average,IsFCC_composition_average,IsHalogen_composition_average,IsHexagonal_composition_average,IsMetal_composition_average,IsMetalloid_composition_average,IsMonoclinic_composition_average,IsNobleGas_composition_average,IsNonmetal_composition_average,IsOrthorhombic_composition_average,IsPnictide_composition_average,IsRareEarth_composition_average,IsRhombohedral_composition_average,IsSimpleCubic_composition_average,IsTetragonal_composition_average,IsTransitionMetal_composition_average,MeltingT_composition_average,MendeleevNumber_composition_average,MiracleRadius_composition_average,NUnfilled_composition_average,NValance_composition_average,NdUnfilled_composition_average,NdValence_composition_average,NfUnfilled_composition_average,NfValence_composition_average,NpUnfilled_composition_average,NpValence_composition_average,NsUnfilled_composition_average,NsValence_composition_average,Number_composition_average,Period_composition_average,Polarizability_composition_average,Row_composition_average,SecondIonizationEnergy_composition_average,ShearModulus_composition_average,SpaceGroupNumber_composition_average,SpecificHeatCapacity_composition_average,ThermalConductivity_composition_average,ThermalExpansionCoefficient_composition_average,ThirdIonizationEnergy_composition_average,n_ws^third_composition_average,phi_composition_average,valence_composition_average
28,1.36,21.027433,68.306091,6.338144,-3.244695,8.027012,0,18.05,-3.276667,2002,97.5,9,1.13,117,4044,170.5,1.25E+01,-24.925,1.835,9.16615,0.232,-3.448171,3.310107,4.170474,0,21.326667,9,5450,4450,1.0135,21.0865,12.6375,173.815,21,0.71,884.3,0,0.5,0,0,0,0.5,0,0,0,0,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,1141.33,78.5,126,1,9,0,5,0,0,1,2,0,2,28,3.5,5.55,3.5,18.4055,74,173,1.0135,101.175,15.05,90.9265,0.835,2.525,4
5,0.98,7.297767,10.811,4.60667,-4.966431,10.259607,0,6.11,-1.0625,4273,320,13,0.82,84,2460,441,5.00E-12,27,2.04,8.29802,1.524,-6.677698,2.429779,3.06133,0,7.1725,13,2900,2000,1.026,11.087,50.2,507.8,7.7,0.23,800.6,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2348,72,88,5,3,0,0,0,0,5,1,0,2,5,2,3.03,2,25.154,0,166,1.026,27,4.7,37.93,1.75,5.3,3
6,0.95,9299.898367,12.40885,4.711179,-4.511808,8.267292,0,6.545,-4.425625,2175.105,160,14,0.785,77.5,1230.6255,220.5,2.50E-12,10,2.54,11.41606,3.9805,-7.44457,2.760481,3.477988,0,10.970625,14,2100,1250,1.033,20.1055,25.2775,255.2964,15.15,0.97,1101.45,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0.5,0,0,0.5,0,0.5,0,0.5,0,0,0,1205.525,77,80,4,4,0,0,0,0,4,2,0,2,6,2,2.065,2,27.3775,0,180,1.034,13.51299,122.35,42.689,1.7,6.08,4
6.8,0.83,11158.23741,13.92404,4.779591,-3.462423,5.947963,0,6.842,-1.49,1763.26,128,14.8,0.766,73.2,984.8574,176.4,2.00E-12,95.46,2.88,11.490038,0.6096,-5.525154,2.550448,3.213363,0,8.332,14.8,1460,1100,0.9612,22.0616,20.212,205.16654,13.46,0.932,1108.58,0,0,0,0.4,0,0.6,0,0,0,0,0,0,0.4,0,0,0.6,0,0,0,0.4,0.6,0,0,972.08,81,73.6,3.2,4.8,0,0,0,0,3.2,2.8,0,2,6.8,2,1.6932,2,31.1318,0,73.6,0.9624,10.96044,469.88,48.1324,0.7,2.12,2.4
10,1.13,17.755945,20.892381,5.351448,-4.824734,10.163741,0,10.135,-4.736369,2413.25,165.5,14,0.94,95.5,2141.5,223,2.50E-12,49.35,2.115,9.392355,1.5745,-6.039104,2.995185,3.773697,0,14.871369,14,2450,3550,0.8975,17.4555,34.37,260.1,13.3,0.2,906.15,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0.5,0,0.5,0,0.5,0,0.5,0,0,0,1332.65,77.5,95,4,4,0,0,0,0,4,2,0,2,10,2.5,3.33,2.5,22.4395,0,84,0.8975,13.6175,65.85,34.055,1.7,5.425,4
19,1.185,14.510867,42.8663,5.6659,-4.590698,8.367126,0,12.56,-2.11375,2580,171,14,1.01,101.5,4093.5,240,1.90E+00,52,2.11,9.04331,0.762,-5.664294,2.984732,3.760527,0,14.67375,14,3100,3000,0.6775,17.8635,37.32,270.1,14.6,0.405,873.8,0,0,0,0.5,0,0,0,0,0,0,0,0.5,1,0,0,0,0,0.5,0,1,0,0,0,1719,78,101.5,4,9,0,5,0,0,4,2,0,2,19,3,3.67,3,21.8935,0,166,0.678,38.5,10.05,33.1405,1.595,5.05,4
28,1.285,18.744595,66.2855,6.087293,-4.428173,9.324384,0,16.6,-2.76625,3066.5,181,14,1.11,111.5,4578.5,254,1.30E+00,64,2.045,8.453205,0.762,-5.39753,3.205681,4.038905,0,19.36625,14,5400,2700,0.6165,18.1585,34.995,287.885,18.95,0.495,817.15,0,0,0,0.5,0,0,0,0,0,0,0,0.5,1,0,0,0,0,0.5,0,1,0,0,0,1625.89,78.5,121.5,4,9,0,5,0,0,4,2,0,2,28,3.5,4.815,3.5,20.842,10,166,0.6165,25.65,7.85,31.615,1.505,4.85,4
6,0.91,8.82509,12.0107,4.726663,-4.871762,8.676084,0,6.6,0.96,4300,33,14,0.77,76,2260,7,7.00E-02,122.3,2.55,11.2603,4.496,-9.209714,2.242692,2.825615,0,5.64,14,500,500,0.709,8.517,117.4,715,5.6,0.16,1086.4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3823,77,77,4,4,0,0,0,0,4,2,0,2,6,2,1.67,2,24.383,0,194,0.709,0,1,47.887,1.77,6.24,4
29.2,1.094,35.787278,66.32534,6.88347,-1.773258,3.340989,0,21.768,-2.944,1125.6,8.12,16.4,1.066,111.2,2948,1.4,1.40E-02,284.14,2.878,11.7031,2.0648,-3.108363,3.562232,4.488131,0,24.712,16.4,2740,5620,0.521,62.2554,27.708,154.78,53.2,1.6,1129.2,0,0,0,0,0.2,0,0,0,0,0.8,0.2,0,0,0,0,1,0.8,0,0,0,0,0,0,977.24,91.4,15.4,1.6,14.4,0,8,0,0,1.6,4.4,0,2,29.2,3.6,2.774,3.6,22.3166,0,90,0.3226,0.0976,0.2,38.3774,0.354,1.248,6.4
43.6,1.246,35.892104,103.925716,7.56192,-1.817155,5.329803,0,29.608,-5.932,1225.84,12.76,16.4,1.218,126.4,4404,1.4,1.40E-02,260.7,2.638,10.613068,1.7488,-3.046265,3.980153,5.014679,0,35.54,16.4,4020,3940,0.313,45.2474,29.688,159.72,35.12,1.792,1024,0,0,0,0,0.2,0,0,0,0,0.8,0.2,0,0,0,0,1,0.8,0,0,0,0,0,0,1074.08,92.2,15.4,1.6,14.4,0,8,0,0,1.6,4.4,0,2,43.6,4.4,4.354,4.4,20.1814,0,90,0.2578,0.3592,69.8,35.9774,0.354,1.248,6.4
