AtomicNumber_composition_average,AtomicRadii_composition_average,AtomicVolume_composition_average,AtomicWeight_composition_average,BCCefflatcnt_composition_average,BCCenergy_pa_composition_average,BCCfermi_composition_average,BCCmagmom_composition_average,BCCvolume_pa_composition_average,BCCvolume_padiff_composition_average,BoilingT_composition_average,BulkModulus_composition_average,Column_composition_average,CovalentRadii_composition_average,CovalentRadius_composition_average,Density_composition_average,ElasticModulus_composition_average,ElectricalConductivity_composition_average,ElectronAffinity_composition_average,Electronegativity_composition_average,FirstIonizationEnergy_composition_average,GSbandgap_composition_average,GSenergy_pa_composition_average,GSestBCClatcnt_composition_average,GSestFCClatcnt_composition_average,GSmagmom_composition_average,GSvolume_pa_composition_average,Group_composition_average,HHIp_composition_average,HHIr_composition_average,HeatCapacityMass_composition_average,HeatCapacityMolar_composition_average,HeatFusion_composition_average,HeatVaporization_composition_average,ICSDVolume_composition_average,IonicRadii_composition_average,IonizationEnergy_composition_average,IsAlkali_composition_average,IsAlkalineEarth_composition_average,IsBCC_composition_average,IsBoron_composition_average,IsCarbon_composition_average,IsChalcogen_composition_average,IsDBlock_composition_average,IsFBlock_composition_average,IsFCC_composition_average,IsHalogen_composition_average,IsHexagonal_composition_average,IsMetal_composition_average,IsMetalloid_composition_average,IsMonoclinic_composition_average,IsNobleGas_composition_average,IsNonmetal_composition_average,IsOrthorhombic_composition_average,IsPnictide_composition_average,IsRareEarth_composition_average,IsRhombohedral_composition_average,IsSimpleCubic_composition_average,IsTetragonal_composition_average,IsTransitionMetal_composition_average,MeltingT_composition_average,MendeleevNumber_composition_average,MiracleRadius_composition_average,NUnfilled_composition_average,NValance_composition_average,NdUnfilled_composition_average,NdValence_composition_average,NfUnfilled_composition_average,NfValence_composition_average,NpUnfilled_composition_average,NpValence_composition_average,NsUnfilled_composition_average,NsValence_composition_average,Number_composition_average,Period_composition_average,Polarizability_composition_average,Row_composition_average,SecondIonizationEnergy_composition_average,ShearModulus_composition_average,SpaceGroupNumber_composition_average,SpecificHeatCapacity_composition_average,ThermalConductivity_composition_average,ThermalExpansionCoefficient_composition_average,ThirdIonizationEnergy_composition_average,n_ws^third_composition_average,phi_composition_average,valence_composition_average
13.357143,0.941071,11957.07136,28.478721,5.263314,-4.773862,4.281208,0,9.358571,-1.141071,1372.207143,57.142857,12.071429,0.905,97.071429,2183.0615,46.071429,1.43E+00,108.564286,2.793571,11.163814,0,-6.250531,2.749594,3.464272,0,10.499643,12.071429,1500,1535.714286,0.764786,27.775143,7.82,161.728436,16.05,1.092857,1076.792857,0,0,0.357143,0,0,0.642857,0.357143,0,0,0,0,0.357143,0,0,0,0.642857,0,0,0,0,0.642857,0,0.357143,814.871429,72.357143,89,3.785714,5.642857,2.5,1.071429,0,0,1.285714,2.571429,0,2,13.357143,2.714286,4.944143,2.714286,27.807357,16.785714,89.5,0.766071,11.136186,504.428571,45.782571,0.585714,1.517857,3.071429
13.454545,0.944909,11836.43271,28.705618,5.270013,-4.815937,4.303166,0,9.395455,-1.129545,1395.518182,58.181818,12,0.908182,97.636364,2222.727545,46.909091,1.45E+00,107.972727,2.781818,11.119192,0,-6.27769,2.751753,3.466991,0,10.525,12,1518.181818,1554.545455,0.762,27.746,7.958182,164.606936,16.027273,1.087273,1072.481818,0,0,0.363636,0,0,0.636364,0.363636,0,0,0,0,0.363636,0,0,0,0.636364,0,0,0,0,0.636364,0,0.363636,828.690909,72.090909,89.454545,3.818182,5.636364,2.545455,1.090909,0,0,1.272727,2.545455,0,2,13.454545,2.727273,5.019455,2.727273,27.674455,17.090909,90.909091,0.763273,11.3338,499.418182,45.616182,0.596364,1.545455,3.090909
14.4,0.9376,11160.15548,30.39808,5.190043,-5.277774,5.034937,0,8.866,-1.073,1231.66,64,12,0.91,95.2,2856.8574,103.6,3.16E+00,110.26,2.728,10.877434,0,-6.656362,2.705768,3.409055,0,9.939,12,1540,1940,0.7304,26.9668,8.532,137.84654,15.18,1.088,1049.46,0,0,0.4,0,0,0.6,0.4,0,0,0,0,0.4,0,0,0,0.6,0,0,0,0,0.6,0,0.4,904.88,71.8,90.4,3.6,6,2,2,0,0,1.2,2.4,0.4,1.6,14.4,2.8,5.1212,2.8,27.6702,46,98.8,0.7316,37.64044,469.96,45.3444,0.692,1.86,3.6
13.333333,0.903,12398.82909,27.9983,5.140848,-4.808104,4.708037,0,8.61,-1.19,1041.4,53.333333,12.666667,0.88,90.333333,2380.952667,86.333333,2.63E+00,115.4,2.846667,11.334203,0,-6.339767,2.693289,3.393332,0,9.8,12.666667,1366.666667,1700,0.761667,27.368667,7.146667,115.4406,15.533333,1.14,1093.533333,0,0,0.333333,0,0,0.666667,0.333333,0,0,0,0,0.333333,0,0,0,0.666667,0,0,0,0,0.666667,0,0.333333,763.2,74.333333,86,3.333333,6,1.666667,1.666667,0,0,1.333333,2.666667,0.333333,1.666667,13.333333,2.666667,4.401333,2.666667,28.911333,38.333333,84.333333,0.763,31.4116,521.633333,46.942667,0.576667,1.55,3.333333
17.333333,1.296333,17.375231,36.0557,5.984355,-6.436276,9.268624,0,13.463333,-3.893333,3096.666667,120,11.333333,1.133333,120.333333,3933.333333,194.333333,2.63E+00,110.4,1.82,7.689957,0.515333,-6.785184,3.235927,4.077012,0,17.356667,11.333333,4166.666667,2033.333333,0.624333,21.11,40.473333,352.5,17.333333,0.38,741.866667,0,0,0.333333,0,0.666667,0,0.333333,0,0.666667,0,0,0.333333,0.666667,0,0,0,0,0,0,0,0,0,0.333333,1851.333333,68.333333,116.666667,4.666667,4.666667,1.666667,1.666667,0,0,2.666667,1.333333,0.333333,1.666667,17.333333,3.333333,7.553333,3.333333,16.396667,38.333333,227.666667,0.616333,129.9,3.366667,32.648,1.576667,4.683333,4.666667
19.2,1.2616,21.137102,40.03744,6.03248,-5.603597,7.850169,0,13.84,-6.108125,1608.232,68.62,12,1.084,118.6,4032,115,3.16E+00,145.852,2.212,8.92261,1.3212,-6.260617,3.360603,4.234094,0,19.948125,12,1660,2240,0.6044,22.96,9.4326,141.8,20.22,0.422,860.868,0,0,0.4,0,0,0.6,0.4,0,0,0,0,0.4,0,0,0,0.6,0.6,0,0,0,0,0,0.4,1105.016,72.4,113.8,3.6,6,2,2,0,0,1.2,2.4,0.4,1.6,19.2,3.4,6.38,3.4,20.598,46,133.6,0.6056,37.6414,43.96,33.282,0.692,1.86,6
29.714286,1.335286,20.730576,67.404043,6.333617,-5.731055,6.625453,0,16.312857,-3.294286,1809.142857,73.314286,11.714286,1.168571,128.142857,5813.714286,122.428571,7.96E+00,138.834286,2.168571,8.472727,0.456571,-6.057188,3.338422,4.206149,0,19.607143,11.714286,2585.714286,5185.714286,0.375857,24.500286,12.822857,160.54,22.171429,0.551429,817.428571,0,0,0.428571,0,0,0.571429,0.428571,0,0,0,0.571429,0.428571,0,0,0,0.571429,0,0,0,0,0,0,0.428571,1216.571429,71.857143,123.142857,3.714286,11.714286,2.142857,7.857143,0,0,1.142857,2.285714,0.428571,1.571429,29.714286,4,7.125714,4,19.18,51.4,106.142857,0.375286,41.322857,27.814286,30.88,0.741429,1.992857,6
30,1.3396,21.162458,68.17444,6.368658,-5.542368,6.557873,0,16.57,-3.458,1752.4,68.98,12,1.168,127.6,5747.4,115.6,7.96E+00,142.576,2.194,8.558038,0.4794,-5.884762,3.36444,4.238928,0,20.028,12,2560,5240,0.3722,24.5578,12.414,151.592,22.68,0.548,825.66,0,0,0.4,0,0,0.6,0.4,0,0,0,0.6,0.4,0,0,0,0.6,0,0,0,0,0,0,0.4,1168.4,73,122.8,3.6,12,2,8,0,0,1.2,2.4,0.4,1.6,30,4,6.902,4,19.314,48.22,100,0.3716,38.704,28.96,30.876,0.692,1.86,6
37.5,1.4195,21.14218,86.87805,6.600359,-6.697361,8.183102,0,19.13,-2.245,2402,101,10.5,1.29,139,6918.5,163,5.25E+00,82.5,1.855,7.68745,0,-6.811539,3.399831,4.283519,0,21.375,10.5,5500,3750,0.328,24.29,20.395,203.735,21.1,0.69,743.25,0,0,0.5,0,0,0,0.5,0,0,0,0,1,0.5,0,0,0,0,0.5,0,0.5,0,0,0.5,1541.89,67,142.5,4.5,10.5,2.5,7.5,0,0,1.5,1.5,0.5,1.5,37.5,4.5,9.1,4.5,16.515,67.5,197.5,0.328,59,7.95,28.13,1.495,4.525,5.5
38,1.4245,23.024813,89.79805,6.655878,-6.169463,7.967478,0,19.735,-3.241667,2102.5,112.5,11,1.27,138.5,6690,149.5,3.95E+00,127.075,1.88,7.888055,0.232,-6.32351,3.465028,4.365661,0,22.976667,11,3000,4500,0.3255,24.54,19.19,195.065,22.95,0.795,761,0,0,0.5,0,0,0.5,0.5,0,0,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0.5,1451.33,69.5,135,4,11,2.5,7.5,0,0,1,2,0.5,1.5,38,4.5,8.55,4.5,17.55,65.5,190.5,0.3255,48.025,11.85,29.46,0.865,2.325,6
13.666667,0.9,12398.86901,28.978948,5.103114,-4.596638,4.574003,0.272858,8.39,-1.175862,838.066667,40,13,0.876667,90.333333,2490.952667,66,1.67E-01,94.066667,2.81,11.556707,0,-6.17805,2.673208,3.368031,0.000103,9.565862,13,866.666667,933.333333,0.771667,28.358667,4.45,75.5206,15.6,1.156667,1115.066667,0,0,0.333333,0,0,0.666667,0.333333,0,0,0,0,0.333333,0,0,0,0.666667,0,0,0,0,0.666667,0,0.333333,542.866667,75.333333,86.666667,3,6.333333,1.666667,1.666667,0,0,1.333333,2.666667,0,2,13.666667,2.666667,3.668,2.666667,28.624667,26,80.333333,0.773333,2.784933,527.233333,47.845,0.536667,1.483333,3.666667
16.5,0.985,9302.204935,35.468722,5.207236,-5.665081,5.324238,0.409286,8.92,-0.876293,1212.05,60,11.5,0.95,102.5,3735.7145,99,2.50E-01,70.55,2.495,10.526035,0,-6.888679,2.694365,3.394687,0.000155,9.796293,11.5,1050,1150,0.6985,27.849,6.565,111.57545,14.75,1.035,1015.65,0,0,0.5,0,0,0.5,0.5,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0.5,0,0.5,786.9,69.5,98,3.5,6.5,2.5,2.5,0,0,1,2,0,2,16.5,3,5.101,3,25.3785,39,114.5,0.7,4.0437,400.85,44.3005,0.805,2.225,4.5
14.333333,0.893333,12405.14328,30.978284,5.258805,-3.508768,1.467006,0.272858,9.123333,-0.844195,834.586667,40,13.666667,0.87,84.333333,2491.130667,66,1.67E-01,218.666667,3.17,14.093207,1.313333,-4.138896,2.711072,3.415737,0.000103,9.967529,13.666667,1533.333333,1600,0.709,29.642667,4.473333,75.426533,15,1.11,1359.8,0,0,0.333333,0,0,0,0.333333,0,0,0.666667,0,0.333333,0,0,0,0.666667,0,0,0,0,0.666667,0,0.333333,542,79.333333,44,2.333333,7,1.666667,1.666667,0,0,0.666667,3.333333,0,2,14.333333,2.666667,3.504667,2.666667,28.526667,26,82.333333,0.709333,2.625267,1207.233333,53.027,0.536667,1.483333,3
16,1.3825,15.498995,33.970665,6.231683,-4.955243,7.716791,0.204643,15.3175,0.335603,2677.5,87,11.5,1.1775,125.5,3892.5,102.375,2.84E+01,33.75,1.595,6.347831,0,-5.064209,3.094137,3.898369,0.000078,14.981897,11.5,1600,1200,0.7925,24.73,11.26,273.035,15.5,0.5725,612.55,0,0,0.25,0.75,0,0,0.25,0,0.75,0,0,1,0,0,0,0,0,0,0,0,0,0,0.25,1079.8525,67.75,138.75,5,4,1.25,1.25,0,0,3.75,0.75,0,2,16,3.25,7.45,3.25,18.031,39,223,0.795,179.705,22.75,29.752,1.445,4.2625,4
19.5,1.28,16.114541,41.511772,5.839866,-6.886211,8.744679,0.409286,12.56,-2.903793,2753.5,110,10.5,1.14,125,4900,180,2.50E-01,66.8,1.725,7.79285,0.3865,-7.222742,3.101343,3.907448,0.000155,15.463793,10.5,3150,1400,0.5955,23.155,31.56,289.37,16.1,0.465,751.9,0,0,0.5,0,0.5,0,0.5,0,0.5,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0.5,1603,65,121,4.5,5.5,2.5,2.5,0,0,2,1,0,2,19.5,3.5,7.465,3.5,15.9925,39,222,0.59,77.91,12.15,33.5795,1.555,4.575,5.5
20.5,1.255,19.689625,43.501523,5.909266,-5.9366,7.670264,0.409286,13.065,-5.072231,1525.86,63.85,11.5,1.095,122,4715,108.5,2.50E-01,100.21,2.065,8.897015,1.101,-6.558891,3.240061,4.08222,0.000155,18.137231,11.5,1150,1400,0.5935,24.51,7.3155,114.87,18.95,0.48,858.49,0,0,0.5,0,0,0.5,0.5,0,0,0,0,0.5,0,0,0,0.5,0.5,0,0,0,0,0,0.5,953.68,70,117.5,3.5,6.5,2.5,2.5,0,0,1,2,0,2,20.5,3.5,6.15,3.5,19.485,39,143.5,0.595,4.0445,45.85,34.2485,0.805,2.225,6.5
31,1.346667,22.210105,70.952682,6.412686,-4.890631,6.266155,0.272858,16.95,-3.825862,1416.666667,45.533333,13,1.163333,126.333333,5702.666667,79.333333,5.50E+00,129.973333,2.216667,8.9796,0.532667,-5.320716,3.405065,4.290113,0.000103,20.775862,13,2000,4600,0.373667,25.682,8.763333,90.793333,23.933333,0.556667,866.4,0,0,0.333333,0,0,0.666667,0.333333,0,0,0,0.666667,0.333333,0,0,0,0.666667,0,0,0,0,0,0,0.333333,835.666667,76.666667,122.666667,3,13,1.666667,8.333333,0,0,1.333333,2.666667,0,2,31,4,5.646667,4,19.34,28.466667,81.666667,0.373333,3.966667,37.233333,31.769,0.536667,1.483333,6.333333
29.5,1.32,19.710755,66.949022,6.189414,-5.885576,6.593352,0.409286,15.34,-2.863793,1646,64.15,11.5,1.165,129.5,6144.5,109,4.25E+00,97.48,2.05,8.593205,0.3995,-6.245679,3.243258,4.086249,0.000155,18.203793,11.5,1900,3900,0.4,25.8415,9.8,123.03,21,0.585,829.15,0,0,0.5,0,0,0.5,0.5,0,0,0,0.5,0.5,0,0,0,0.5,0,0,0,0,0,0,0.5,1006.5,70.5,125,3.5,11.5,2.5,7.5,0,0,1,2,0,2,29.5,4,6.585,4,18.415,40.85,115.5,0.4,4.93,33.35,32.2435,0.805,2.225,6.5
38.5,1.42,23.084697,91.269022,6.599277,-5.852265,7.766428,0.409286,19.405,-3.22046,1797.5,92.5,11.5,1.265,138.5,6855,119,2.50E-01,95.075,1.825,8.22181,0.232,-6.080934,3.434906,4.32771,0.000155,22.62546,11.5,2250,3350,0.3405,26.025,15.145,135.185,23.05,0.82,793.3,0,0,0.5,0,0,0.5,0.5,0,0,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0.5,1120.83,71,136,3.5,11.5,2.5,7.5,0,0,1,2,0,2,38.5,4.5,7.45,4.5,17.12,47,184.5,0.341,5.085,20.25,30.8135,0.805,2.225,6.5
43,1.48,26.708694,103.379348,6.95917,-4.846216,7.830257,0.272858,22.37,-4.301418,1618.666667,83.333333,13,1.296667,138.333333,6650,92.666667,1.67E-01,126.766667,1.916667,8.484407,0.309333,-5.101057,3.660596,4.612061,0.000103,26.671418,13,2466.666667,3866.666667,0.294333,25.926667,15.89,107,26.666667,0.87,818.6,0,0,0.333333,0,0,0.666667,0.333333,0,0,0,0.666667,0.333333,0.666667,0,0,0,0,0,0,0,0,0,0.333333,988.106667,77.333333,137.333333,3,13,1.666667,8.333333,0,0,1.333333,2.666667,0,2,43,4.666667,6.8,4.666667,17.613333,36.666667,173.666667,0.294667,4.173333,19.766667,29.862333,0.536667,1.483333,6.333333
43.666667,1.3,32.51014,102.915662,7.353689,-3.659139,5.520469,0.272858,27.076667,-5.095862,1082.866667,45.133333,13.666667,1.276667,139,5783.333333,66,1.67E-01,196.866667,2.29,9.445513,0.708,-4.010457,3.862291,4.866182,0.000103,32.172529,13.666667,3800,3800,0.302333,45.06,9.476667,87.18,32.4,1.69,911.4,0,0,0.333333,0,0,0,0.333333,0,0,0.666667,0,0.333333,0,0,0,0.666667,0.666667,0,0,0,0,0,0.333333,764.233333,81.333333,44,2.333333,13.666667,1.666667,8.333333,0,0,0.666667,3.333333,0,2,43.666667,4.666667,6.483333,4.666667,17.967333,26,115,0.256667,2.906,65.233333,33.222333,0.536667,1.483333,7
15.2,0.9344,11160.02925,31.93764,5.160062,-4.790045,4.424717,0.844265,8.69,-1.065,1307.66,68,12.8,0.906,92.4,3150.4574,84.4,4.48E+00,94.26,2.796,11.33179,0,-6.168269,2.690106,3.389321,0.844265,9.755,12.8,1260,860,0.7304,27.6668,5.656,141.84654,15.06,1.06,1092.06,0,0,0.4,0,0,0.6,0.4,0,0,0,0,0.4,0,0,0,0.6,0,0,0,0,0.6,0,0.4,757.28,74.2,88.4,2.8,6.8,1.6,2.4,0,0,1.2,2.4,0,2,15.2,2.8,3.8412,2.8,27.5422,32.8,98.8,0.7316,32.24044,472.72,45.2208,0.708,1.972,3.6
18,1.293667,17.27004,37.338667,5.959371,-6.029835,8.760108,0.703554,13.316667,-3.886667,3160,123.333333,12,1.13,118,4178,178.333333,3.73E+00,97.066667,1.876667,8.068587,0.515333,-6.37844,3.222874,4.060567,0.703554,17.203333,12,3933.333333,1133.333333,0.624333,21.693333,38.076667,355.833333,17.233333,0.356667,777.366667,0,0,0.333333,0,0.666667,0,0.333333,0,0.666667,0,0,0.333333,0.666667,0,0,0,0,0,0,0,0,0,0.333333,1728.333333,70.333333,115,4,5.333333,1.333333,2,0,0,2.666667,1.333333,0,2,18,3.333333,6.486667,3.333333,16.29,27.333333,227.666667,0.616333,125.4,5.666667,32.545,1.59,4.776667,4.666667
20,1.2805,15.896871,41.96525,5.85899,-6.593747,8.182954,1.055331,12.67,-2.915,3153.5,135,11,1.14,121.5,5102,186.5,5.60E+00,78.8,1.865,8.02704,0.3865,-6.855201,3.111887,3.920731,1.055331,15.585,11,3550,1200,0.5805,22.545,32.01,354.25,15.85,0.405,772.85,0,0,0.5,0,0.5,0,0.5,0,0.5,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0.5,1749,66.5,117.5,4,6,2,3,0,0,2,1,0,2,20,3.5,6.965,3.5,16.2625,41,228,0.5745,114.1,7.2,32.0715,1.635,4.815,5
18.666667,1.267,22.735203,39.264175,5.916766,-5.883852,8.862415,0.703554,13.016667,-5.606825,1413.666667,64,12.666667,1.096667,115.333333,3840,73.666667,3.73E+00,55.8,2.07,9.62526,1.083333,-6.362167,3.300035,4.157783,0.703554,18.623492,12.666667,2133.333333,3866.666667,0.662333,24.249333,16.963333,124.766667,16.5,0.296667,927.566667,0,0,0.333333,0,0,0,0.333333,0,0,0,0,0.333333,0,0.666667,0,0.666667,0,0.666667,0,0,0,0,0.333333,815.2,73.666667,109.666667,3.333333,6,1.333333,2,0,0,2,2,0,2,18.666667,3.333333,5.22,3.333333,18.543333,27.333333,77.666667,0.662333,26.89,88.6,30.337,1.69,5.343333,5.333333
19.333333,1.260333,22.036819,39.991667,6.051904,-4.763688,7.327555,0.703554,13.99,-6.777917,1523.146667,61.8,13.333333,1.07,114,3931.333333,83,3.73E+00,141.613333,2.33,9.540807,1.468,-5.493306,3.407831,4.293598,0.703554,20.767917,13.333333,1266.666667,1133.333333,0.621667,23.5,5.750667,123.166667,21.033333,0.376667,919.486667,0,0,0.333333,0,0,0.666667,0.333333,0,0,0,0,0.333333,0,0,0,0.666667,0.666667,0,0,0,0,0,0.333333,862.573333,77,110.333333,2.666667,6.666667,1.333333,2,0,0,1.333333,2.666667,0,2,19.333333,3.333333,4.733333,3.333333,20.946667,27.333333,123,0.623,26.912667,50.6,33.437,0.59,1.643333,6
30.666667,1.340333,18.408432,68.562733,6.336036,-5.571804,6.466928,0.703554,16.25,-2.11,1636,71.333333,12.666667,1.19,123.333333,6442.666667,96.333333,6.27E+00,59.333333,2.063333,9.159867,0,-5.862421,3.286097,4.140223,0.703554,18.36,12.666667,3000,3133.333333,0.369,24.793333,20.896667,138.1,18.233333,0.57,884.433333,0,0,0.333333,0,0,0,0.333333,0,0,0,0,1,0.666667,0,0,0,0,0.666667,0,0.666667,0,0,0.333333,1330.333333,74.333333,118.333333,3.333333,12.666667,1.333333,8.666667,0,0,2,2,0,2,30.666667,4,5.673333,4,17.815333,27.333333,187,0.369667,60.066667,14.2,29.117667,1.55,4.843333,5.333333
22.666667,1.484333,20.598662,48.585608,6.573968,-6.876556,5.118365,0.703554,18.376667,-0.023333,3113.333333,94.666667,4.666667,1.35,157.333333,4614.666667,123.666667,4.73E+00,20.066667,1.516667,7.00846,0,-6.95217,3.288224,4.142902,0.703558,18.4,4.666667,4466.666667,3466.666667,0.528333,25.38,14.003333,319.7,20.5,0.683333,673.766667,0,0,0.333333,0,0,0,1,0,0,0,0.666667,1,0,0,0,0,0,0,0,0,0,0,1,1813,25.666667,149.666667,7.333333,4.666667,7.333333,2.666667,0,0,0,0,0,2,22.666667,4,14.666667,4,13.926667,46.666667,205.666667,0.528333,37.266667,10.6,26.723667,1.436667,3.81,4
42.666667,1.473667,24.053404,99.788333,6.897893,-5.355105,7.743272,0.703554,21.636667,-2.98,2284.666667,84.666667,12.666667,1.323333,136.666667,7089.333333,115,5.47E+00,75.333333,1.976667,8.37306,0,-5.506736,3.580696,4.511394,0.703554,24.616667,12.666667,6066.666667,2733.333333,0.287667,25.186667,17.796667,161.813333,24.033333,0.69,808.9,0,0,0.333333,0,0,0,0.333333,0,0,0,0,1,0.666667,0,0,0,0,0.666667,0,0.666667,0,0,0.333333,1206.186667,75,145,3.333333,12.666667,1.333333,8.666667,0,0,2,2,0,2,42.666667,4.666667,7.2,4.666667,16.413333,40.666667,187,0.287667,42.933333,11.266667,27.083667,1.43,4.576667,5.333333
41.6,1.4564,25.084959,98.898,6.830512,-5.014665,7.355346,0.844265,21.272,-3.878,2010.2,107,12.8,1.284,135.6,6893.6,108.4,4.48E+00,123.69,1.992,8.56672,0.2784,-5.198975,3.578754,4.508948,0.844265,25.15,12.8,2700,3500,0.3008,25.478,15.952,170.178,25.02,0.802,825.24,0,0,0.4,0,0,0.6,0.4,0,0,0,0.6,0.4,0.6,0,0,0,0,0,0,0,0,0,0.4,1157.996,76,134,2.8,12.8,1.6,8.4,0,0,1.2,2.4,0,2,41.6,4.6,6.66,4.6,17.632,42.4,182.8,0.3008,33.49,16,29.0364,0.708,1.972,6
43.333333,1.480333,26.563581,103.681667,6.971919,-4.65124,7.455774,0.703554,22.443333,-4.308889,1885.333333,100,13.333333,1.296667,136,6784.666667,97,3.73E+00,134.766667,2.01,8.640533,0.309333,-4.85603,3.667624,4.620917,0.703554,26.752222,13.333333,2733.333333,3733.333333,0.284333,25.52,16.19,150.253333,26.5,0.83,832.566667,0,0,0.333333,0,0,0.666667,0.333333,0,0,0,0.666667,0.333333,0.666667,0,0,0,0,0,0,0,0,0,0.333333,1085.44,78.333333,135,2.666667,13.333333,1.333333,8.666667,0,0,1.333333,2.666667,0,2,43.333333,4.666667,6.466667,4.666667,17.793333,38,177.666667,0.284333,28.3,16.466667,28.857,0.59,1.643333,6
44,1.300333,32.365027,103.21798,7.366439,-3.464164,5.145986,0.703554,27.15,-5.103333,1349.533333,61.8,14,1.276667,136.666667,5918,70.333333,3.73E+00,204.866667,2.383333,9.60164,0.708,-3.76543,3.86932,4.875038,0.703554,32.253333,14,4066.666667,3666.666667,0.292333,44.653333,9.776667,130.433333,32.233333,1.65,925.366667,0,0,0.333333,0,0,0,0.333333,0,0,0.666667,0,0.333333,0,0,0,0.666667,0.666667,0,0,0,0,0,0.333333,861.566667,82.333333,41.666667,2,14,1.333333,8.666667,0,0,0.666667,3.333333,0,2,44,4.666667,6.15,4.666667,18.147333,27.333333,119,0.246333,27.032667,61.933333,32.217,0.59,1.643333,6.666667
17.5,0.9915,9301.596514,37.466298,5.201095,-4.719919,4.606974,0.842019,8.885,-0.79,1645.05,90,12.5,0.945,96,4450.7145,104,8.95E+00,105.55,2.66,10.74953,0,-5.918591,2.68365,3.381187,0.774236,9.675,12.5,1800,1600,0.6695,27.094,8.21,188.35545,14.2,1.025,1035.95,0,0,0,0,0,0.5,0.5,0,0,0,0.5,0.5,0,0,0,0.5,0,0,0,0,0.5,0,0.5,911.4,72.5,94.5,2.5,7.5,1.5,3.5,0,0,1,2,0,2,17.5,3,4.151,3,26.0885,37.5,103,0.6705,50.1337,396.5,44.217,0.875,2.55,2.5
20.5,1.2865,15.506119,43.509347,5.833725,-5.941048,8.027415,0.842019,12.525,-2.8175,3186.5,140,11.5,1.135,118.5,5615,185,8.95E+00,101.8,1.89,8.016345,0.3865,-6.252654,3.090628,3.893948,0.774236,15.3425,11.5,3900,1850,0.5665,22.4,33.205,366.15,15.55,0.455,772.2,0,0,0,0,0.5,0,0.5,0,0.5,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0.5,1727.5,68,117.5,3.5,6.5,1.5,3.5,0,0,2,1,0,2,20.5,3.5,6.515,3.5,16.7025,37.5,210.5,0.5605,124,7.8,33.496,1.625,4.9,3.5
31,1.344333,18.147931,69.592132,6.319193,-5.136672,6.363235,0.561346,16.153333,-2.045,1658,74.666667,13,1.186667,121.333333,6784.666667,95.333333,8.50E+00,74.666667,2.08,9.152737,0,-5.460722,3.271925,4.122367,0.516157,18.198333,13,3233.333333,3566.666667,0.359667,24.696667,21.693333,146.033333,18.033333,0.603333,884,0,0,0,0,0,0,0.333333,0,0,0,0.333333,1,0.666667,0,0,0,0,0.666667,0,0.666667,0,0,0.333333,1316,75.333333,118.333333,3,13,1,9,0,0,2,2,0,2,31,4,5.373333,4,18.108667,25,175.333333,0.360333,66.666667,14.6,30.067333,1.543333,4.9,4.333333
31.5,1.35575,19.041939,70.924499,6.420677,-4.906245,6.391088,0.421009,16.8675,-2.325,1465.25,61.5,13.5,1.19,120.75,6520.25,81.25,7.33E+00,75.25,2.105,9.311703,0,-5.258264,3.338865,4.206706,0.387118,19.1925,13.5,3250,3675,0.352,24.6825,22.38,117.625,18.9,0.5975,899.75,0,0,0,0,0,0,0.25,0,0,0,0.25,1,0.75,0,0,0,0,0.75,0,0.75,0,0,0.25,1259.5,77.5,117.5,3,13.5,0.75,9.25,0,0,2.25,2.25,0,2,31.5,4,5.1075,4,18.23975,18.75,173,0.35275,62.5,14.8,29.63825,1.5175,4.875,4.5
43.319444,1.479514,25.984179,103.757359,6.924915,-4.273691,7.326838,0.584735,22.098611,-4.151412,1934.263889,104.930556,13.569444,1.290556,133.833333,7163.611111,98.333333,6.22E+00,148.43125,2.023611,8.617728,0.302889,-4.509041,3.634347,4.57899,0.537664,26.250023,13.569444,2969.444444,4136.111111,0.278042,25.410556,16.970278,162.668194,25.983333,0.858889,830.588889,0,0,0,0,0,0.652778,0.347222,0,0,0,1,0.347222,0.652778,0,0,0,0,0,0,0,0,0,0.347222,1085.625278,78.888889,134.791667,2.347222,13.569444,1.041667,8.958333,0,0,1.305556,2.611111,0,2,43.319444,4.652778,6.194444,4.652778,18.065278,36.486111,166.583333,0.278042,36.25625,16.786111,29.883611,0.607639,1.770833,4.958333
18,0.988,9301.569225,37.3464,5.19139,-3.949445,4.084663,0.032284,8.83,-0.8825,1638.05,90,13,0.94,95,4454.7145,104,7.30E+00,126.05,2.675,10.628925,0,-5.151558,2.686981,3.385384,0.297697,9.7125,13,750,1000,0.681,27.724,8.85,190.45545,14.05,1.045,1025.3,0,0,0,0,0,0.5,0.5,0,0.5,0,0,0.5,0,0,0,0.5,0,0,0,0,0.5,0,0.5,891.4,74,95,2,8,1,4,0,0,1,2,0,2,18,3,3.801,3,26.6425,38,118.5,0.682,45.4837,396.7,45.052,0.875,2.6,2.5
